id,script,japanese,furigana,image,english
1,hiragana,あお,a o,blue.jpg,blue
2,hiragana,あか,a ka,red.jpg,red
3,hiragana,きいろ,ki i ro,yellow.jpg,yellow
4,hiragana,みどり,mi do ri,green.jpg,green
5,hiragana,やさい,ya sa i,vegetables.jpg,vegetables
6,hiragana,えき,e ki,station.jpg,station
7,hiragana,でんしゃ,de n sha,train.jpg,train
8,hiragana,くるま,ku ru ma,car.jpg,car
9,hiragana,じてんしゃ,ji te n sha,bicycle.jpg,bicycle
10,katakana,バス,ba su,bus.jpg,bus
11,katakana,コーヒー,ko - hi -,coffee.jpg,coffee
12,katakana,ビール,bi - ru,beer.jpg,beer
13,hiragana,やま,ya ma,mountain.jpg,mountain
14,hiragana,うみ,u mi,sea.jpg,"sea, ocean"
15,hiragana,かわ,ka wa,river.jpg,"river, stream"
16,hiragana,こうえん,ko u e n,park.jpg,park
17,hiragana,おいしい,o i shi i,tasty.jpg,tasty
18,hiragana,ぎゅうにゅう,gyu u nyu u,milk.jpg,milk
19,hiragana,こうちゃ,ko u cha,tea.jpg,black tea
20,hiragana,おちゃ,o cha,greentea.jpg,green tea
21,katakana,オレンジ,o re n ji,orange.jpg,orange
22,hiragana,りんご,ri n go,apple.jpg,apple
23,katakana,マンゴー,m an go -,mango.jpg,mango
24,hiragana,ぶどう,bu do u,grape.jpg,grape
25,katakana,ジュース,ju - su,juice.jpg,juice
26,hiragana,えんぴつ,e n pi tsu,pencil.jpg,pencil
27,hiragana,けしごむ,ke shi go mu,rubber.jpg,rubber/eraser
28,katakana,ノート,no - to,notebook.jpg,notebook
29,katakana,ペン,pe n,pen.jpg,pen
30,hiragana,かばん,ka ba n,bag.jpg,bag
31,hiragana,あめ,a me,rain.jpg,rain
32,hiragana,ゆき,yu ki,snow.jpg,snow
33,hiragana,ふく,fu ku,clothing.jpg,clothing
34,hiragana,くつ,ku tsu,shoes.jpg,shoes
35,hiragana,くつした,ku tsu shi ta,socks.jpg,socks
36,hiragana,おおきい,o o ki i,big.jpg,big
37,hiragana,ちいさい,chi i sa i,small.jpg,small
38,hiragana,あつい,a tsu i,hot.jpg,hot
39,hiragana,つめたい,tsu me ta i,cold.jpg,cold
40,hiragana,ふるい,fu ru i,old.jpg,old
41,hiragana,あたらしい,a ta ra shi i,new.jpg,new
42,katakana,スマホ,su ma ho,smartphone.jpg,smartphone
43,katakana,ロンドン,ro n do n,london.jpg,london
44,katakana,イギリス,i gi ri su,britain.jpg,the UK
45,hiragana,つくえ,tsu ku e,table.jpg,table
46,hiragana,いす,i su,chair.jpg,chair
47,hiragana,のみもの,no mi mo no,drinks.jpg,drinks
48,hiragana,たべもの,ta be mo no,foods.jpg,foods
49,hiragana,たてもの,ta te mo no,buildings.jpg,buildings
50,hiragana,ひと,hi to,person.jpg,person
51,hiragana,ほん,ho n,book.jpg,book
52,hiragana,へや,he ya,room.jpg,room
53,hiragana,きょうしつ,kyo u shi tsu,classroom.jpg,classroom
54,hiragana,がっこう,gak ko u,school.jpg,school
55,hiragana,ともだち,to mo da chi,friend.jpg,friend
56,katakana,アメリカ,a me ri ka,america.jpg,USA
57,katakana,ゲーム,ge - mu,game.jpg,game
58,katakana,カメラ,ka me ra,camera.jpg,camera
59,katakana,パソコン,pa so ko n,PC.jpg,PC
60,katakana,マウス,ma u su,mouse.jpg,mouse
61,katakana,キーボード,ki - bo - do,keyboard.jpg,keyboard
